Tempi medi di esecuzione in msec su 10 array di interi minori di 10000
1) Arrays.sort
2) MergeSort
3) Mergesort_It
4) QuickSort
5) QuickSort_It
6) QuickSort_It0
7) QuickSort_It1
8) InsertionSort
9) SelectionSort
10) BubbleSort

Size	1)	2)	3)	4)	5)	6)	7)	8)	9)	10)
1000	0.4	0.0	0.7	0.1	0.1	0.7	0.2	5.5	1.3	4.1
2000	0.9	1.4	2.5	0.8	0.3	0.7	0.3	4.5	4.1	11.0
3000	1.6	0.4	0.5	1.1	0.1	0.6	0.5	6.0	7.6	26.4
4000	0.9	0.2	0.6	0.9	0.6	0.2	0.4	10.1	13.3	47.4
5000	0.8	0.8	0.4	0.3	0.6	0.4	0.6	15.5	19.7	75.4
6000	1.2	0.4	0.9	0.4	0.6	0.8	0.6	23.1	27.9	110.6
7000	0.9	0.5	0.9	0.8	0.3	0.8	0.8	30.4	38.7	156.0
8000	1.0	1.0	1.0	0.8	0.7	0.9	0.7	41.3	49.4	209.4
9000	1.6	0.9	1.2	0.9	1.0	1.0	0.9	53.0	62.4	274.2
10000	1.1	1.2	1.4	1.0	1.2	1.3	0.9	63.6	77.4	330.6
11000	1.4	1.2	1.7	1.0	1.0	1.2	1.0	78.2	95.4	415.7
12000	1.3	1.1	1.8	1.4	1.1	1.4	1.1	92.1	110.7	495.6
13000	1.7	1.4	1.9	1.4	1.4	1.5	1.3	121.6	132.0	595.9
14000	1.7	1.7	2.0	1.8	1.2	1.9	1.3	131.7	155.9	684.4
15000	2.0	1.9	2.4	1.6	1.5	1.9	1.6	149.1	175.5	783.3
16000	2.4	1.9	2.7	1.4	2.0	2.1	1.4	186.6	199.2	912.5
17000	2.3	2.0	2.6	2.0	1.6	2.3	1.6	189.3	230.6	1018.6
18000	2.6	2.0	3.0	1.8	1.8	2.1	2.1	241.8	257.6	1176.6
19000	3.0	2.5	3.1	2.0	2.3	2.4	2.0	266.3	291.5	1336.3
20000	2.9	2.3	3.1	2.0	2.1	2.3	2.1	289.4	319.3	1460.2
